name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Don't Hold Your Breath,Killer Love,Nicole Scherzinger,4bohbKYM5RjGsSzv1EsBed,2011-01-01,0,197440,0.659,0.00626,0.799,8.99e-05,0.183,0.658,-6.098,0.0264,110.955,5,4,angry
Kill Em With Kindness,Selena x Votes,Selena Gomez,2H6u5E4jThSltnr7XOuDRK,2020-10-30,32,217906,0.757,0.00789,0.884,5.87e-05,0.0973,0.399,-5.488,0.0404,120.013,10,4,angry
Love It If We Made It,A Brief Inquiry Into Online Relationships,The 1975,6WmIyn2fx1PKQ0XDpYj4VR,2018-11-30,69,252925,0.472,0.000607,0.745,2.74e-05,0.0957,0.0631,-5.297,0.0356,180.06,4,4,angry
drivers license,drivers license,Olivia Rodrigo,7lPN2DXiMsVn7XUKtOW1CS,2021-01-08,31,242013,0.585,0.721,0.436,1.31e-05,0.105,0.132,-8.761,0.0601,143.874,10,4,angry
Hair (feat. Sean Paul),Get Weird (Expanded Edition),Little Mix,28STRBEo3Gp4EthtSk4MGW,2015-11-06,61,235127,0.713,0.00628,0.801,1.5e-06,0.825,0.727,-5.781,0.0483,153.984,7,4,angry
Maneater,Loose,Nelly Furtado,4wH4dJgrsxONID6KS2tDQM,2006-01-01,80,258893,0.796,0.0261,0.777,0.000358,0.121,0.787,-4.81,0.0397,132.722,6,4,angry
I Hate Boys,Bionic (Deluxe Version),Christina Aguilera,2MzmobpruYSw7n93RdEWGU,2010-06-08,46,144160,0.758,0.00861,0.661,0.000649,0.955,0.592,-5.609,0.101,138.051,1,4,angry
Cold Hearted (Glee Cast Version),"Glee: The Music, The Complete Season Four",Glee Cast,6fAt0M805j9gjy1GSHwGdA,2014-01-14,45,216440,0.716,0.0282,0.8,1.61e-05,0.0923,0.92,-4.635,0.0364,122.402,7,4,angry
Want U Back,Sticks & Stones,Cher Lloyd,5InWRmnfgjVwQWoXHNBATu,2011-11-07,66,214013,0.696,0.0662,0.893,0,0.473,0.573,-2.963,0.076,97.954,9,4,angry
Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Charlie's Angels (Original Motion Picture Soundtrack),Various Artists,6zegtH6XXd2PDPLvy1Y0n2,2019-11-01,70,190066,0.644,0.00237,0.755,7.64e-06,0.0859,0.334,-5.325,0.0448,102.861,1,4,angry
Give It Up (feat. Elizabeth Gillies & Ariana Grande),Victorious: Music From The Hit TV Show (feat. Victoria Justice),Victorious Cast,4sqQci4nqA37mA5tcHJnfo,2010,46,165146,0.758,0.0949,0.944,6.49e-06,0.402,0.696,-1.541,0.0696,119.97,2,4,angry
I'm Gonna Show You Crazy,I'm Gonna Show You Crazy,Bebe Rexha,5LtNBCM2ve0SxP0dlRVvMu,2014-12-19,64,207775,0.474,0.0758,0.537,0,0.316,0.335,-6.77,0.0649,90.103,2,4,angry
Power (feat. Stormzy),Glory Days (Expanded Edition),Little Mix,4QVFtAswXqPoAWRLo5yu8a,2016-11-18,64,242293,0.586,0.0345,0.865,5.7e-06,0.165,0.468,-4.092,0.319,172.912,7,4,angry
That's Not My Name,We Started Nothing,The Ting Tings,1gt1fWqUZOUgT2kTArAw4E,2008-05-16,53,310573,0.755,0.0451,0.901,0.0373,0.363,0.959,-3.152,0.0893,145.042,9,4,angry
Tell Me Something I Don't Know,Kiss & Tell,Selena Gomez & The Scene,6nhvIZeu7g6OsDCLj1DKLl,2009-01-01,57,175333,0.71,0.14,0.935,0,0.0593,0.914,-3.339,0.193,145.063,7,4,angry
Cut You Off,Rare (Deluxe),Selena Gomez,0he909ZlMUk631mzXeSgq4,2020-04-09,47,182016,0.855,0.3,0.293,9.19e-05,0.091,0.841,-8.676,0.286,139.745,5,4,angry
We Are Never Ever Getting Back Together,Red (Big Machine Radio Release Special),Taylor Swift,0VwNdo84DaVYLIkbVO86ND,2012-10-22,75,193146,0.628,0.00957,0.676,2.65e-05,0.121,0.75,-5.911,0.0916,85.984,7,4,angry
Mr. Brightside,Hot Fuss,The Killers,003vvx7Niy0yvhvHt4a68B,2004,86,222973,0.352,0.00121,0.911,0,0.0995,0.236,-5.23,0.0747,148.033,1,4,angry
Smells Like Teen Spirit,Nevermind (Deluxe Edition),Nirvana,1f3yAtsJtY87CTmM8RLnxf,1991-09-26,11,301920,0.502,2.55e-05,0.912,0.000173,0.106,0.72,-4.556,0.0564,116.761,1,4,angry
Drop Dead,Falling Asleep At The Wheel,Holly Humberstone,6ZC0G0vb5tr86xeJP766Ok,2020-08-14,38,177162,0.577,0.586,0.393,0.000181,0.0927,0.132,-7.322,0.038,89.858,0,4,angry
What You Waiting For?,Love Angel Music Baby (Deluxe Version),Gwen Stefani,0oEFdKyCW7zMSIHazc8Yit,2005-01-01,0,221226,0.676,0.0509,0.948,8.19e-06,0.384,0.731,-2.557,0.0628,136.027,5,4,angry
So Good,So Good,Louisa Johnson,20js7QbHkIuzrgecUTPfl7,2016-10-28,46,190853,0.549,0.0938,0.684,0,0.235,0.408,-4.875,0.0349,147.012,0,4,angry
Mad at You (with Gallant),Mad at You (with Gallant),Noah Cyrus,4G4EoG2Dk7kjisJKv9DP5h,2018-09-07,51,226746,0.359,0.818,0.421,0,0.153,0.499,-4.069,0.0356,161.244,5,3,angry
Don’t Blame Me,reputation,Taylor Swift,1R0a2iXumgCiFb7HEZ7gUE,2017-11-10,88,236413,0.615,0.106,0.534,1.76e-05,0.0607,0.193,-6.719,0.0386,135.917,9,4,angry
good 4 u,good 4 u,Olivia Rodrigo,6PERP62TejQjgHu81OHxgM,2021-05-14,27,178147,0.556,0.3,0.661,0,0.101,0.668,-5.052,0.204,168.56,6,4,angry
brutal,SOUR,Olivia Rodrigo,6SRsiMl7w1USE4mFqrOhHC,2021-05-21,81,143746,0.672,0.0311,0.526,1.37e-06,0.28,0.28,-6.446,0.0599,123.999,4,4,angry
x2,Therapy,Anne-Marie,0k79twDYBMpqqjVLuEnYkh,2021-07-23,47,162040,0.865,0.0958,0.578,1.19e-06,0.147,0.241,-7.594,0.0553,110.025,6,4,angry
My Kind Of Love - Radio Mix,My Kind Of Love,Emeli Sandé,7E5lsR0QIGD6DC9eDdwCmR,2012-01-01,16,199880,0.373,0.577,0.717,1.95e-06,0.323,0.42,-2.775,0.0443,174.581,5,4,angry
I Didn't Change My Number,Happier Than Ever,Billie Eilish,7bcy34fBT2ap1L4bfPsl9q,2021-07-30,76,158463,0.849,0.612,0.48,0.269,0.295,0.677,-5.835,0.226,142.021,9,4,angry
NDA,Happier Than Ever,Billie Eilish,38GBNKZUhfBkk3oNlWzRYd,2021-07-30,78,195776,0.765,0.341,0.373,0.525,0.112,0.554,-9.921,0.0713,85.016,8,4,angry
Lost Cause,Lost Cause,Billie Eilish,2xdwCJLfKCkat14mlgR26M,2021-06-02,2,212496,0.671,0.705,0.336,0.00751,0.0577,0.518,-8.494,0.241,75.051,10,4,angry
traitor,SOUR,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,2021-05-21,89,229226,0.38,0.691,0.339,0,0.12,0.0849,-7.885,0.0338,100.607,3,4,angry
Find What You're Looking For,Find What You're Looking For,Olivia O'Brien,7INsqwNThfLFC9zKK1BYmq,2016-10-21,55,187219,0.725,0.544,0.417,0,0.0932,0.551,-11.576,0.0899,120.606,7,4,angry
Tell Your Girlfriend,Therapy,Anne-Marie,0Kryggxs2gZqnkujFYEH1D,2021-07-23,46,134893,0.747,0.175,0.536,0,0.0423,0.82,-5.536,0.0798,95.489,5,4,angry
Good In Goodbye,Life Support,Madison Beer,4y3g40TWe7fCWCayJZuGvw,2021-02-26,67,141949,0.658,0.433,0.698,0,0.174,0.456,-5.95,0.177,139.054,11,4,angry
Easier than Lying,"If I Can’t Have Love, I Want Power",Halsey,7N1TIml2jRQRgXUrpXgXrk,2021-08-27,55,206346,0.474,8.36e-05,0.869,0.46,0.123,0.33,-4.067,0.17,181.992,6,4,angry
The Lighthouse,"If I Can’t Have Love, I Want Power",Halsey,0AMKBZBzdgp0054s9DORsv,2021-08-27,54,273386,0.324,0.137,0.614,0.000633,0.305,0.295,-6.217,0.0338,123.145,9,4,angry
NOW,NOW,Olivia O'Brien,7l3OQbWE1gvd4204aEgAz8,2020-09-18,55,182866,0.765,0.184,0.776,0,0.245,0.812,-4.109,0.0355,148.094,7,4,angry
Ironic,Jagged Little Pill,Alanis Morissette,4oGTdOClZUxcM2H3UmXlwL,1995-06-09,57,225933,0.495,0.246,0.595,0,0.236,0.392,-7.57,0.0443,85.341,11,4,angry
Say It to My Face,As She Pleases,Madison Beer,0kF0fz89HNJ1afzJ1IE1rP,2018-02-02,52,189694,0.753,0.169,0.566,0,0.276,0.591,-4.763,0.435,113.884,11,4,angry
Too Good,Views,Drake,3BtuIIrQlkujKPuWF2B85z,2016-05-06,75,263373,0.794,0.0489,0.653,4.88e-05,0.1,0.397,-7.839,0.104,117.996,7,4,angry
Care Less More,Was It Even Real?,Olivia O'Brien,3l3KNYbuDBpM9YBo878utU,2019-04-26,47,176480,0.745,0.617,0.406,0,0.125,0.744,-8.307,0.281,128.168,5,4,angry
Ciao Adios,Speak Your Mind (Deluxe),Anne-Marie,01BC4Xj5tfsfV8DLDrma7q,2018-04-27,65,199773,0.694,0.136,0.853,0,0.322,0.501,-3.986,0.0934,106.098,7,4,angry
Love The Way You Lie,Recovery,Eminem,15JINEqzVMv3SvJTAXAKED,2010-06-18,83,263373,0.749,0.241,0.925,0,0.52,0.641,-5.034,0.227,86.989,10,4,angry
Happier Than Ever - Edit,Happier Than Ever (Edit),Billie Eilish,32BeYxKPrig1LefHsC0Xuo,2021-07-28,82,151444,0.334,0.0468,0.599,0.000392,0.205,0.127,-5.742,0.0365,161.74,0,3,angry
Bitch (I Said It),Bitch (I Said It),Sody,0ABeME5fOK9X8dfqx6V98C,2021-10-01,58,191462,0.755,0.0834,0.529,2.77e-05,0.27,0.228,-6.066,0.0986,112.035,0,4,angry
Rumour Has It,21,Adele,50yHVBbU6M4iIfqBI1bxWx,2011-01-19,0,223266,0.612,0.617,0.748,0,0.167,0.574,-5.014,0.0445,120.052,0,4,angry
Make Me (Cry),Make Me (Cry),Noah Cyrus,2BrzlUj1u1CtvaJDGIKpsP,2016-11-15,67,242081,0.588,0.592,0.471,0.00146,0.0733,0.209,-7.287,0.0577,152.881,0,4,angry
Telepath,Telepath,Conan Gray,3Z39gbqdaGL3WJXBG0gcuE,2021-10-29,73,194973,0.606,0.00298,0.819,0,0.0702,0.744,-4.804,0.049,75.006,9,4,angry
Moments,Moments,Cate,3NilZVPKLumm0f6UMfEw2Y,2021-10-29,0,196113,0.498,0.268,0.678,0,0.133,0.427,-4.487,0.0386,73.41,2,4,angry
No,Between Us (Deluxe Version),Little Mix,7reG3QYhefsJNpcVJq4BZr,2021-11-12,62,183021,0.793,0.165,0.842,0,0.107,0.747,-3.563,0.0804,120.008,8,4,angry
Cut You Off,Between Us (Deluxe Version),Little Mix,6NmigMZ7Yb0BLgc20LW7ui,2021-11-12,53,173653,0.71,0.0432,0.757,0,0.0513,0.648,-3.845,0.123,115.042,0,4,angry
Trash,Between Us (Deluxe Version),Little Mix,2Tb4Us0GhAuCpEsqOdTmmy,2021-11-12,52,173249,0.617,0.135,0.761,0,0.263,0.528,-5.392,0.0591,160.08,2,4,angry
Lose You To Love Me,Rare,Selena Gomez,4l0Mvzj72xxOpRrp6h8nHi,2020-01-10,82,206458,0.488,0.556,0.343,0,0.21,0.0978,-8.985,0.0436,102.819,4,4,angry
abcdefu (angrier),abcdefu (angrier),GAYLE,1EQFOouqdKYdpbNoOHRVO2,2021-09-24,72,159836,0.671,0.0658,0.599,0,0.101,0.448,-6.18,0.0405,121.849,4,3,angry
You're Not Harry Styles,You're Not Harry Styles,Dylan,1yCrrZwlYPS3AqQHsJvFlu,2021-11-26,5,176530,0.553,0.00681,0.767,2.95e-06,0.0903,0.669,-4.557,0.0741,165.059,6,4,angry
All The Things She Said,200 KM/H In The Wrong Lane (10th Anniversary Edition),t.A.T.u.,4bJygwUKrRgq1stlNXcgMg,2002,79,214440,0.603,0.0411,0.834,0.00609,0.105,0.376,-5.766,0.0417,89.957,5,4,angry
Hot N Cold - Rock Version,Hot N Cold,Katy Perry,6K4r3XENOKeXFTKlBlAJLC,2008-01-01,60,220360,0.544,0.000717,0.892,0,0.0731,0.45,-3.222,0.046,131.986,7,4,angry
vicious,vicious,Tate McRae,7nIPkUEV3HYE7yzXHvGOVB,2020-06-19,56,182929,0.728,0.0367,0.724,1.87e-06,0.116,0.483,-5.783,0.077,156.227,5,4,angry
good 4 u,SOUR,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,2021-05-21,88,178146,0.563,0.335,0.664,0,0.0849,0.688,-5.044,0.154,166.928,9,4,angry
shut up,Positions,Ariana Grande,3ko9jEHNt4O5fjKN65ULJp,2020-10-30,61,157710,0.499,0.801,0.462,0,0.0946,0.599,-5.308,0.0312,127.698,0,4,angry
Rolling in the Deep,21,Adele,4OSBTYWVwsQhGLF9NHvIbR,2011-01-24,81,228093,0.73,0.138,0.769,0,0.0473,0.507,-5.114,0.0298,104.948,8,4,angry
This Could Be Us,SremmLife,Rae Sremmurd,4jTiyLlOJVJj3mCr7yfPQD,2015-01-06,79,206306,0.732,0.291,0.69,0,0.116,0.758,-4.992,0.134,143.072,0,4,angry
this is how i learn to say no,this is how i learn to say no,EMELINE,4yb8suVmTLxvSb8hT6EmT6,2021-08-20,62,142965,0.378,0.232,0.587,0,0.455,0.498,-7.755,0.163,181.452,10,3,angry
like that,aurora,Bea Miller,6E37j4b44JGpdk297urpKM,2018-02-23,70,185546,0.573,0.186,0.441,0,0.61,0.389,-5.799,0.0758,61.657,6,4,angry
Jigsaw,Jigsaw,Conan Gray,1WzOonguDKuWQrTTf5yR0D,2022-01-21,62,208969,0.273,0.0801,0.517,0,0.0984,0.16,-5.853,0.0313,168.213,9,4,angry
Left Outside Alone,Anastacia,Anastacia,3xl7PsO7Hzuig6To9FgDm6,2004,66,257426,0.663,0.0697,0.746,0,0.0929,0.325,-3.567,0.0321,102.847,2,4,angry
I Hate U,I Hate U,SZA,5dXWFMwD7I7zXsInONVl0H,2021-12-03,80,174000,0.535,0.507,0.388,0,0.11,0.412,-9.805,0.155,106.703,7,5,angry
Liar Liar,Liar Liar,Peyton List,0dsd9LUwFeeujPxdqPmqsg,2018-11-02,47,182523,0.711,0.0213,0.604,0.00158,0.0571,0.361,-5.392,0.0503,175.597,5,3,angry
Ain't Shit,Planet Her,Doja Cat,5lAnYvAIkSDNXqfo7DyFUm,2021-06-25,80,174253,0.855,0.506,0.488,0,0.347,0.619,-4.601,0.208,124.097,3,4,angry
you're so cool,i used to think i could fly,Tate McRae,5XLgE4yoU9MyR5vkjNxpdF,2022-05-27,61,170933,0.798,0.219,0.654,0,0.545,0.731,-3.139,0.0937,131.943,5,4,angry
what's your problem?,i used to think i could fly,Tate McRae,3yoIliXhnorEdfTZ93W2YL,2022-05-27,64,167373,0.724,0.515,0.543,0,0.14,0.439,-6.973,0.0786,103.987,2,4,angry
I'm Not The Only One,In The Lonely Hour,Sam Smith,7795WJLVKJoAyVoOtCWqXN,2014-05-26,88,239316,0.677,0.529,0.485,2.04e-05,0.0766,0.493,-5.795,0.0361,82.001,5,4,angry
Twinkle Twinkle Little Bitch,Twinkle Twinkle Little Bitch,Leah Kate,6zBqlhWjEhNyH4Z8eUDzMT,2022-06-24,62,156937,0.571,0.0151,0.854,0,0.251,0.6,-4.753,0.125,160.035,7,4,angry
10 Things I Hate About You,10 Things I Hate About You,Leah Kate,6Jkm5kUldvIqxzI1Pa7nXH,2022-03-23,82,157138,0.544,0.00991,0.786,0,0.169,0.446,-2.97,0.0501,153.967,8,4,angry
F U Anthem (Fuck You Anthem),What Just Happened?,Leah Kate,5VahNEYKPpQ65vXYipahyJ,2021-10-01,60,155260,0.534,0.00664,0.761,0,0.525,0.554,-4.343,0.0386,160.184,0,4,angry
Here,Know-It-All (Deluxe),Alessia Cara,664gdARxaClFsoF5SXKOws,2016-03-11,67,199453,0.376,0.0783,0.822,0,0.0841,0.327,-3.974,0.104,120.493,0,4,angry
go - goddard. Remix,Go (Remixes),Cat Burns,6RZo8T7GY9EoWZXC5i2587,2022-03-25,72,192514,0.728,0.222,0.689,6.14e-05,0.107,0.0473,-6.601,0.13,89.973,6,4,angry
she's all i wanna be,she's all i wanna be,Tate McRae,0IuVhCflrQPMGRrOyoY5RW,2022-02-04,80,206772,0.614,0.0134,0.644,7.07e-06,0.117,0.651,-5.372,0.0426,160.036,2,4,angry
Seven,Seven,Natalie Jane,0YrwiodQd07LE9vpI0w3Iw,2022-09-09,78,124373,0.822,0.119,0.255,0,0.128,0.377,-9.83,0.349,136.024,8,4,angry
PSYCHO,PSYCHO,Anne-Marie,1eprzC29mwUQqcVj0eILdx,2022-09-15,79,162666,0.62,0.0138,0.681,0,0.0248,0.741,-4.915,0.356,160.743,9,4,angry
well…,PANORAMA,Hayley Kiyoko,3fp8Zt7cjlnH6E44VTiCgI,2022-07-29,49,204373,0.74,0.0767,0.576,3.64e-06,0.157,0.594,-6.33,0.0415,124.012,1,4,angry
"Happy - From ""Despicable Me 2""",G I R L,Pharrell Williams,60nZcImufyMA1MKQY3dcCH,2014-03-03,81,232720,0.647,0.219,0.822,0,0.0908,0.962,-4.662,0.183,160.019,5,4,happy
Sheesh!,Sheesh!,Surfaces,3ddNKnYpVx0uI8vcwbTQ5Y,2021-08-20,69,148846,0.743,0.161,0.832,0,0.0925,0.801,-3.937,0.0611,149.951,5,4,happy
Clap Your Hands,Clap Your Hands,Kungs,7g7OshelYRRnOSEMmisJVI,2022-02-18,75,189880,0.878,0.0507,0.875,3.42e-05,0.356,0.84,-4.923,0.0658,124.006,1,4,happy
Hey Ya!,The Way You Move / Hey Ya!,Outkast,3AszgPDZd9q0DpDFt4HFBy,2003,63,239240,0.715,0.0644,0.97,0.000156,0.205,0.963,-2.206,0.0648,79.504,0,4,happy
Friends & Family,Friends & Family,The Isley Brothers,1WR8eDyLw7uW5KDv7Sr50h,2021-04-05,47,252524,0.79,0.344,0.503,0,0.0662,0.881,-11.169,0.109,101.05,8,4,happy
As It Was,As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7,2022-03-31,96,167303,0.52,0.342,0.731,0.00101,0.311,0.662,-5.338,0.0557,173.93,6,4,happy
Remember,Remember,Becky Hill,4laAKIq9ZxBCwf99rauPYb,2021-06-18,78,160766,0.612,0.041,0.862,0,0.0907,0.354,-2.903,0.037,123.849,8,4,happy
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",TROLLS (Original Motion Picture Soundtrack),Trolls,1WkMMavIMc4JZ8cfMmxHkI,2016-09-23,74,237546,0.669,0.0106,0.832,0,0.0968,0.7,-5.721,0.0682,113.035,0,4,happy
Electric Feel,Oracular Spectacular,MGMT,3FtYbEfBqAlGO46NUDQSAt,2007-12-14,77,229640,0.763,0.0709,0.803,0.285,0.348,0.561,-3.713,0.0351,103.04,1,3,happy
Classic,MKTO,MKTO,6FE2iI43OZnszFLuLtvvmg,2012,82,175426,0.72,0.0384,0.791,0,0.157,0.756,-4.689,0.124,102.071,1,4,happy
California Sun,California Sun,Trinity Bliss,5emwpEVGxpxXg2EKC99nkr,2022-08-29,40,213128,0.39,0.601,0.428,0,0.128,0.31,-7.355,0.0385,90.223,4,4,happy
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,5nujrmhLynf4yMoMtj8AQF,2020-03-27,85,203064,0.702,0.00883,0.825,0,0.0674,0.915,-3.787,0.0601,102.977,6,4,happy
Whistle,Whistle,Hoodie Forester,5cBvwieT5RLB9Ro2OOjBoI,2020-12-09,43,125052,0.615,0.062,0.748,0,0.567,0.485,-5.423,0.0374,95.027,0,4,happy
I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,4h9wh7iOZ0GGn8QVp4RAOB,2022-05-13,97,148485,0.704,0.0826,0.797,0.000745,0.0546,0.825,-5.927,0.0475,139.994,0,4,happy
Riptide,Dream Your Life Away,Vance Joy,7yq4Qj7cqayVTp3FF9CWbm,2014-09-08,83,204280,0.484,0.431,0.731,0,0.151,0.51,-6.694,0.0379,101.654,1,4,happy
Cape Cabo,Cape Cabo,Player1,6YHDQXIMTpcBHfsUqsvSgx,2022-04-15,45,174000,0.72,0.34,0.725,2.23e-05,0.0616,0.83,-3.462,0.277,180.063,8,4,happy
Dancing In The Moonlight (feat. NEIMY),Dancing In The Moonlight (feat. NEIMY),Jubël,4GSDkZt7GcmzBWmsMcpaVO,2018-06-22,76,164009,0.659,0.27,0.615,0,0.187,0.193,-5.865,0.0644,119.843,11,4,happy
Dance on My Own (feat. Richard Judge),Dance on My Own (feat. Richard Judge),Frank Walker,0pMD1V0QbqSD7RhJmxDDJ9,2022-08-19,55,214838,0.558,0.0256,0.883,0,0.234,0.307,-4.463,0.0368,123.918,5,4,happy
Something About Your Love,Missing You / Something About Your Love,SG Lewis,7cujJQPxdHeDz5mKLmv0bu,2022-07-07,63,323109,0.587,0.0134,0.826,0.000131,0.236,0.274,-5.728,0.148,122.02,8,4,happy
Dancing through September,Dancing through September,At The Starlight,1IiBUegydzwzmrc4yLdHwm,2022-09-02,22,200437,0.496,0.373,0.268,0.000109,0.141,0.321,-12.62,0.0597,119.828,7,3,happy
Easy,Easy,Nicky Romero,4VVzgTike7FW8OiUIDN7hk,2022-07-01,60,149516,0.689,0.00677,0.822,0.000134,0.121,0.673,-6.678,0.043,123.984,0,4,happy
Call On Me (feat. Georgia Ku),Call On Me (feat. Georgia Ku),Sam Feldt,3pBv3LfvfPft2TqHleqKHo,2021-10-15,69,192000,0.662,0.171,0.794,0,0.0883,0.641,-4.239,0.0533,104.951,6,4,happy
DNA,DNA,Craig David,0DfQV2Ri0l83o7Nbzm45vQ,2022-07-29,66,177213,0.672,0.0588,0.881,0,0.406,0.68,-3.142,0.0447,122.012,9,4,happy
Anxiety,Anxiety,Ryn Nicole,2oyUSv4WmsaDu1MiOcYqFc,2022-09-23,32,158328,0.596,0.19,0.747,1.18e-06,0.102,0.489,-4.788,0.0907,153.774,4,4,happy
Who's In Your Head,Who's In Your Head,Jonas Brothers,5nhW8I46uDE5sc5ouEbzao,2021-09-17,68,183536,0.704,0.00447,0.778,0,0.0731,0.821,-5.331,0.0971,101.025,5,4,happy
Melody,Melody,Sigala,6Owc2SuzwO3LW1SAODYK3l,2022-01-21,76,167142,0.63,0.0231,0.91,1.91e-06,0.125,0.525,-2.681,0.058,123.017,10,4,happy
Pumped Up Kicks,Pumped Up Kicks,Madism,3Dzso9Q2WwupEclqgxBZht,2020-08-21,75,145161,0.669,0.152,0.687,1.6e-05,0.308,0.386,-4.753,0.043,123.903,0,4,happy
Somebody You Like,BREATHE,Felix Jaehn,43IcAhi0JNBOSqMuHonWQx,2021-10-01,58,152744,0.682,0.217,0.822,0.00148,0.12,0.595,-4.422,0.0399,120.02,5,4,happy
Run,Run,OneRepublic,2UbVnbE5FH6008mAm6Mmgw,2021-05-05,76,169010,0.682,0.326,0.72,0,0.148,0.673,-8.173,0.0381,117.003,11,4,happy
The Weekend,The Weekend,Joan & the Giants,7806r1yzAT35PFXMLuALxe,2022-09-02,29,171293,0.483,0.183,0.776,0,0.313,0.29,-3.783,0.128,162.814,7,4,happy
Runaway (with Sigala and JP Cooper),Runaway (with Sigala and JP Cooper),R3HAB,6tS1Fm9z3UKuLSxrinY3pC,2021-08-20,62,168196,0.617,0.213,0.756,0,0.152,0.432,-5.811,0.104,121.828,3,4,happy
Battle Lines,Empty Flower,Quigzy Stick,2wnqL4zXvCJADzwvyZmvZH,2022-08-12,22,211253,0.508,0.0121,0.729,0.000441,0.0869,0.758,-5.034,0.0285,92.005,0,4,happy
Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,02MWAaffLxlfxAUY7c5dvx,2020-08-06,89,238805,0.761,0.44,0.525,6.7e-06,0.0921,0.531,-6.9,0.0944,80.87,11,4,happy
Crazy What Love Can Do,Crazy What Love Can Do,David Guetta,1WCEAGGRD066z2Q89ObXTq,2022-04-08,86,169756,0.601,0.0282,0.713,0,0.158,0.464,-3.758,0.0449,122.872,4,4,happy
C'est La Vie,Pacifico (Deluxe),Surfaces,32DspJXRL1U3c9RwOhRJZE,2021-09-03,62,175435,0.761,0.18,0.566,0,0.207,0.631,-7.923,0.0397,108.01,9,4,happy
Skate,Skate,Bruno Mars,2sXf2JdbB2GlNju00kw9WE,2021-07-30,9,203122,0.708,0.037,0.598,0,0.17,0.698,-8.365,0.0291,112.027,5,4,happy
Sunshine,Sunshine,OneRepublic,5r43qanLhUCdBj8HN3fa6B,2021-11-10,83,163854,0.697,0.137,0.875,0,0.28,0.774,-4.621,0.034,140.069,5,4,happy
Numb,Numb,Marshmello,10xV5l9nhLvFpR8mqzs0bL,2022-06-10,88,155588,0.912,0.121,0.774,0.0127,0.101,0.632,-4.673,0.0455,119.966,0,4,happy
Dancing Feet (feat. DNCE),Dancing Feet (feat. DNCE),Kygo,4RAR8g8fZNB106ezUurnE0,2022-02-25,80,215203,0.75,0.293,0.797,0,0.392,0.523,-4.826,0.118,105.949,0,4,happy
No Diggity,No Diggity,HÄWK,65nn7e1DOFh5MRHHQ7GWBi,2022-01-07,66,218880,0.809,0.016,0.777,0.83,0.0721,0.436,-8.677,0.0498,125.034,6,4,happy
Don’t Wake Me Up,Don’t Wake Me Up,Jonas Blue,3LEgGAl9zLcQWGTp7ptqtQ,2022-01-07,77,188894,0.621,0.222,0.747,0.000194,0.147,0.426,-5.084,0.0337,124.015,11,4,happy
Sunset and Palmtrees,Sunset and Palmtrees,JAMS,2vRyZnsrLs20lOJvGjSymh,2022-09-23,36,125000,0.767,0.0402,0.55,0,0.0848,0.478,-9.959,0.0479,100.024,2,4,happy
I Think I'm Ready for Love,I Think I'm Ready for Love,Andrew Ash,7t0zEVbXDHT8OX5gpnbsei,2022-09-09,25,205967,0.82,0.111,0.648,0,0.062,0.921,-4.683,0.0401,109.93,6,4,happy
Run,Run,Becky Hill,6oYXbji1rn7U6bFuNYekpQ,2022-02-18,72,188731,0.601,0.0313,0.879,0,0.0793,0.589,-2.673,0.0353,124.013,2,4,happy
Learn to Love,Learn to Love,Sabrina Francis,2gkmKJKjzJXztLQDN3rtcx,2022-08-19,44,178598,0.668,0.289,0.785,0,0.102,0.34,-5.67,0.0654,107.085,4,4,happy
If You Really Love Me (How Will I Know),If You Really Love Me (How Will I Know),David Guetta,1V7bZ9gEIwFQpm8yGxRHNA,2021-07-02,73,184390,0.692,0.0512,0.883,0,0.228,0.614,-4.698,0.0582,122.984,7,4,happy
Summer of Love (Shawn Mendes & Tainy),Summer Of Love,Shawn Mendes,0z8hI3OPS8ADPWtoCjjLl6,2021-08-20,82,184104,0.776,0.0297,0.808,0.000127,0.103,0.494,-4.501,0.117,123.988,11,4,happy
Silent Revolution,Silent Revolution,COMODO,1k3ticDrNJ4opgMKR4si1v,2022-09-23,29,268000,0.58,0.388,0.427,0.02,0.0442,0.516,-13.664,0.0267,131.076,9,4,happy
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,6Dy1jexKYriXAVG6evyUTJ,2021-08-13,81,162603,0.787,0.018,0.833,0.00747,0.0374,0.796,-4.403,0.0478,123.97,8,4,happy
Love on Me,Love on Me,Galantis,2MHCiOohBZEQuLgDTPvSzF,2016-09-30,56,205920,0.562,0.105,0.906,0,0.145,0.674,-2.085,0.0758,124.146,4,4,happy
